Contig,Blastx_spID,Blastx_Description,Blastx_e-value,DEG_log2FoldChange,DEG_padj,Enriched_GO_Terms
Phel_contig_9741,Q90Y90,Kremen protein 1 (Dickkopf receptor) (Kringle-containing protein marking the eye and the nose),9.00E-15,3.510855743,0.005865594,cell surface receptor linked signal transduction
Phel_contig_9770,Q8NCW0,Kremen protein 2 (Dickkopf receptor 2) (Kringle domain-containing transmembrane protein 2) (Kringle-containing protein marking the eye and the nose),2.00E-09,-1.423345856,0.03655904,cell surface receptor linked signal transduction
Phel_contig_11010,P32303,"Type-1 angiotensin II receptor A (xAT) (Angiotensin 2 receptor, type 1-A) (Angiotensin II receptor, type 1-A)",8.00E-06,2.390497765,0.032171322,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_11189,P30937,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R),3.00E-22,2.48261114,2.32E-06,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_11919,Q16983,Diuretic hormone receptor (DH-R),3.00E-12,-2.227139787,0.017116826,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_12124,Q62758,5-hydroxytryptamine receptor 4 (5-HT-4) (5-HT4) (Serotonin receptor 4),2.00E-16,2.558084917,0.019071106,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_12417,Q5BL72,Frizzled-7 (Frz7) (Fz-7),2.00E-36,-2.288719417,0.012562818,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_135,P51049,Melatonin receptor type 1B-B (Mel-1B-R-B) (Mel1b receptor B) (Melatonin receptor Mel1b Z2.6-4) (zMel1b-1),2.00E-07,7.391795378,8.62E-15,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_1440,Q29J90,G-protein coupled receptor moody,2.00E-16,4.519869845,6.59E-09,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_145,P21333,Filamin-A (FLN-A) (Actin-binding protein 280) (ABP-280) (Alpha-filamin) (Endothelial actin-binding protein) (Filamin-1) (Non-muscle filamin),0,-1.280599927,0.002277731,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_15446,P46023,G-protein coupled receptor GRL101,2.00E-64,-2.432436693,0.036946576,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_17925,Q6BD04,G-protein coupled receptor 54,1.00E-19,3.339768749,0.00010011,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_18736,B7ZCC9,Probable G-protein coupled receptor 112,6.00E-19,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_19121,Q9HAR2,Latrophilin-3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Lectomedin-3),7.00E-44,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_2063,P97717,Alpha-1B adrenergic receptor (Alpha-1B adrenoreceptor) (Alpha-1B adrenoceptor),3.00E-24,3.971870302,1.77E-11,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_22940,P30937,Somatostatin receptor type 4 (SS-4-R) (SS4-R) (SS4R),1.00E-15,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_2373,P97292,Histamine H2 receptor (H2R) (HH2R) (Gastric receptor I),1.00E-26,4.416984755,4.39E-07,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_24090,Q923Y7,Trace amine-associated receptor 4 (TaR-4) (Trace amine receptor 4) (2-phenylethylamine receptor) (Trace amine receptor 2) (TaR-2),4.00E-06,-1.743557501,0.030029142,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_24419,Q9HAR2,Latrophilin-3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Lectomedin-3),8.00E-31,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_25982,Q1WLP9,C-C chemokine receptor type 9 (C-C CKR-9) (CC-CKR-9) (CCR-9) (CD antigen CDw199),5.00E-08,-2.218969359,0.040816036,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_2601,Q8K4S1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-epsilon-1) (Phospholipase C-epsilon-1) (PLC-epsilon-1)",3.00E-11,3.384740156,1.49E-06,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_26218,B7ZCC9,Probable G-protein coupled receptor 112,3.00E-11,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_2786,Q5RDQ8,Metabotropic glutamate receptor 7 (mGluR7),8.00E-153,-2.752546514,2.12E-07,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_2796,Q8K4S1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-epsilon-1) (Phospholipase C-epsilon-1) (PLC-epsilon-1)",5.00E-114,3.709241507,3.30E-05,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_29418,Q80T41,Gamma-aminobutyric acid type B receptor subunit 2 (GABA-B receptor 2) (GABA-B-R2) (GABA-BR2) (GABABR2) (Gb2) (G-protein coupled receptor 51),1.00E-18,-3.581700637,0.016770254,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_30182,P46023,G-protein coupled receptor GRL101,4.00E-24,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_3210,B7ZCC9,Probable G-protein coupled receptor 112,5.00E-51,-1.874289716,0.005818929,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_3218,Q6NS52,Diacylglycerol kinase beta (DAG kinase beta) (EC 2.7.1.107) (Diglyceride kinase beta) (DGK-beta),0,2.179521,0.001274781,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_3895,B7ZCC9,Probable G-protein coupled receptor 112,7.00E-08,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_5268,Q08DH5,Regulator of G-protein signaling 7-binding protein (R7 family-binding protein),8.00E-14,-1.602223464,0.044099374,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_6028,B7ZCC9,Probable G-protein coupled receptor 112,3.00E-43,,,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_637,P30939,5-hydroxytryptamine receptor 1F (5-HT-1F) (5-HT1F) (Serotonin receptor 1F),8.00E-12,2.112314467,0.000868164,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_6527,P0C5J4,Probable G-protein coupled receptor 52,3.00E-08,1.389770757,0.015261207,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_7895,P56489,Muscarinic acetylcholine receptor M1,2.00E-47,-2.237927979,0.003907935,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_8033,P24628,D(2) dopamine receptor A (D2R-A) (D2R 1),4.00E-21,-1.592393085,0.018608458,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_8096,Q9HAR2,Latrophilin-3 (Calcium-independent alpha-latrotoxin receptor 3) (CIRL-3) (Lectomedin-3),8.00E-40,-2.877695167,0.005561545,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_8658,Q28005,Lutropin-choriogonadotropic hormone receptor (LH/CG-R) (Luteinizing hormone receptor) (LSH-R),1.00E-09,-4.572524167,0.000563325,cell surface receptor linked signal transduction; G-protein coupled receptor protein signaling pathway
Phel_contig_2260,P40189,Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (CDw130) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130),1.00E-19,10.9186787,3.14E-45,cell surface receptor linked signal transduction; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine production
Phel_contig_9238,Q29RN6,Suppressor of cytokine signaling 5 (SOCS-5),1.00E-65,-2.096786622,6.37E-07,cell surface receptor linked signal transduction; positive regulation of immune system process
Phel_contig_961,P40190,Interleukin-6 receptor subunit beta (IL-6 receptor subunit beta) (IL-6R subunit beta) (IL-6R-beta) (IL-6RB) (Interleukin-6 signal transducer) (Membrane glycoprotein 130) (gp130) (Oncostatin-M receptor subunit alpha) (CD antigen CD130),1.00E-17,3.405349707,0.000100448,cell surface receptor linked signal transduction; positive regulation of immune system process
Phel_contig_11415,Q8BZM1,Glomulin (FK506-binding protein-associated protein) (FAP) (FKBP-associated protein),3.00E-52,-1.980203935,0.027125036,cell surface receptor linked signal transduction; regulation of cytokine biosynthetic process; regulation of cytokine productiion
Phel_contig_10373,Q8K4S1,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase epsilon-1 (EC 3.1.4.11) (Phosphoinositide phospholipase C-epsilon-1) (Phospholipase C-epsilon-1) (PLC-epsilon-1)",1.00E-19,4.265538932,0.000408419,cell surface receptor linked signal transduction;G-protein coupled receptor protein signaling pathway
Phel_contig_11488,Q9UGM3,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),2.00E-45,-2.222603229,0.000355912,humoral immune response; immune response; innate immune response
Phel_contig_14847,Q9UGM3,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),1.00E-49,,,humoral immune response; immune response; innate immune response
Phel_contig_1748,Q9UGM3,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),0,5.178161207,1.59E-12,humoral immune response; immune response; innate immune response
Phel_contig_2588,Q9UGM3,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),2.00E-68,-1.992182709,0.025636471,humoral immune response; immune response; innate immune response
Phel_contig_5421,Q9UGM3,Deleted in malignant brain tumors 1 protein (Glycoprotein 340) (Gp-340) (Hensin) (Salivary agglutinin) (SAG) (Surfactant pulmonary-associated D-binding protein),0,,,humoral immune response; immune response; innate immune response
Phel_contig_10058,P20749,B-cell lymphoma 3 protein (BCL-3) (Proto-oncogene BCL3),6.00E-58,2.763287584,0.038122671,humoral immune response; immune response; regulation of cytokine biosynthetic process; regulation of cytokine production
Phel_contig_4093,Q9Z2F6,B-cell lymphoma 3 protein homolog (BCL-3),6.00E-24,2.694539276,0.001586331,humoral immune response; immune response; regulation of cytokine biosynthetic process; regulation of cytokine production
Phel_contig_1507,P09215,Protein kinase C delta type (EC 2.7.11.13) (nPKC-delta) [Cleaved into: Protein kinase C delta type regulatory subunit; Protein kinase C delta type catalytic subunit (Sphingosine-dependent protein kinase-1) (SDK1)],0,2.622828773,0.000406184,immune response
Phel_contig_1891,Q9UH65,Switch-associated protein 70 (SWAP-70),3.00E-42,2.125270995,0.000129591,immune response
Phel_contig_2843,Q9H0E2,Toll-interacting protein,5.00E-78,1.860894153,0.023755969,immune response
Phel_contig_3613,P90850,Uncharacterized peptidase C1-like protein F26E4.3,1.00E-122,3.805693293,1.96E-05,immune response
Phel_contig_3786,Q64337,Sequestosome-1 (STONE14) (Ubiquitin-binding protein p62),8.00E-13,3.559941147,9.41E-06,immune response
Phel_contig_385,O08623,Sequestosome-1 (Protein kinase C-zeta-interacting protein) (PKC-zeta-interacting protein) (Ubiquitin-binding protein p62),9.00E-09,2.417223297,0.004268898,immune response
Phel_contig_4022,P40792,Ras-related protein Rac1,2.00E-74,1.696515931,0.011099985,immune response
Phel_contig_707,Q9WTK5,Nuclear factor NF-kappa-B p100 subunit (DNA-binding factor KBF2) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 2) [Cleaved into: Nuclear factor NF-kappa-B p52 subunit],1.00E-11,2.620803302,0.000730597,immune response
Phel_contig_2450,B6ZK77,Interleukin-1 receptor accessory protein-like 1-B,3.00E-09,,,immune response; innate immune response
Phel_contig_2458,Q5XJ85,Myeloid differentiation primary response protein MyD88,7.00E-08,2.106441104,1.42E-06,immune response; innate immune response
Phel_contig_7638,B6ZK77,Interleukin-1 receptor accessory protein-like 1-B,7.00E-08,4.202417468,1.13E-05,immune response; innate immune response
Phel_contig_7999,O75594,Peptidoglycan recognition protein 1 (Peptidoglycan recognition protein short) (PGRP-S),2.00E-39,-3.463077515,2.13E-11,immune response; innate immune response
Phel_contig_9242,Q9UHD2,Serine/threonine-protein kinase TBK1 (EC 2.7.11.1) (NF-kappa-B-activating kinase) (T2K) (TANK-binding kinase 1),2.00E-140,2.585739833,0.001052501,immune response; innate immune response
Phel_contig_1244,P58682,Toll-like receptor 8 (CD antigen CD288),5.00E-52,2.619669593,0.012682823,immune response; innate immune response; positive regulation of immune response; positive regulation of immune system process; regulation of cytokine biosynthetic process; regulation of cytokine production
Phel_contig_12563,Q15399,Toll-like receptor 1 (Toll/interleukin-1 receptor-like protein) (TIL) (CD antigen CD281),1.00E-13,1.780224081,0.013437823,immune response; innate immune response; regulation of cytokine biosynthetic proces; regulation of cytokine production
Phel_contig_20201,O95786,Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),2.00E-56,,,immune response; innate immune response; regulation of cytokine production
Phel_contig_2368,O95786,Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),1.00E-121,,,immune response; innate immune response; regulation of cytokine production
Phel_contig_5554,O95786,Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),2.00E-33,,,immune response; innate immune response; regulation of cytokine production
Phel_contig_8135,O95786,Probable ATP-dependent RNA helicase DDX58 (EC 3.6.4.13) (DEAD box protein 58) (RIG-I-like receptor 1) (RLR-1) (Retinoic acid-inducible gene 1 protein) (RIG-1) (Retinoic acid-inducible gene I protein) (RIG-I),5.00E-54,1.641419,0.017814954,immune response; innate immune response; regulation of cytokine production
Phel_contig_273,P17676,CCAAT/enhancer-binding protein beta (C/EBP beta) (Liver activator protein) (LAP) (Liver-enriched inhibitory protein) (LIP) (Nuclear factor NF-IL6) (Transcription factor 5) (TCF-5),3.00E-15,1.304168435,0.035560785,immune response; regulation of cytokine biosynthetic process; regulation of cytokine production
Phel_contig_1605,A7MB54,H2.0-like homeobox protein (Homeobox protein HLX1),3.00E-33,1.687794847,0.010061099,positive regulation of immune system process
Phel_contig_1300,Q63369,Nuclear factor NF-kappa-B p105 subunit (DNA-binding factor KBF1) (EBP-1) (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit] (Fragment),6.00E-70,1.66720841,0.008053012,regulation of cytokine biosynthetic process; regulation of cytokine production
Phel_contig_15442,Q04861,Nuclear factor NF-kappa-B p105 subunit (Nuclear factor of kappa light polypeptide gene enhancer in B-cells 1) [Cleaved into: Nuclear factor NF-kappa-B p50 subunit],6.00E-99,2.468969431,0.016570033,regulation of cytokine biosynthetic process; regulation of cytokine production
